caso_id,risk_bucket,risk_score,top_contribuyentes,ciudad,vertical,valor_orden_mxn,compensacion_solicitada_mxn,num_compensaciones_90d,monto_compensado_90d_mxn,entrega_confirmada_gps,tiempo_entrega_real_min,flags_fraude_previos,motivo_reclamo,descripcion_reclamo,etiqueta_manual,notas_revisor
COMP-0068,FRAUDE,0.87,monto compensado acumulado alto; entrega atípicamente rápida; muchas compensaciones en 90d,Puebla,Comida,113.98,111.13,7,2763.77,SÍ - confirmada,30,2,Orden llegó tarde,La orden prometía 30 minutos y tardó más de 2 horas.,,
COMP-0113,FRAUDE,0.89,monto compensado acumulado alto; flags de fraude previos; muchas compensaciones en 90d,Querétaro,Comida,214.07,197.38,8,2360.36,SÍ - confirmada,35,3,Orden no llegó,La app dice que fue entregado pero no recibí nada. Estuve en casa todo el día.,,
COMP-0061,FRAUDE,0.92,flags de fraude previos; muchas compensaciones en 90d; monto compensado acumulado alto,Guadalajara,Comida,221.08,220.29,9,1804.92,SÍ - confirmada,33,4,Orden cancelada sin reembolso,Cancelaron mi orden por falta de repartidor y no me reembolsaron.,,
COMP-0105,FRAUDE,0.92,flags de fraude previos; muchas compensaciones en 90d; monto compensado acumulado alto,São Paulo,Farmacia,174.33,161.32,9,1870.83,SÍ - confirmada,34,4,Cobro incorrecto,El monto cobrado no corresponde a lo que aparece en mi resumen.,,
COMP-0087,FRAUDE,1.0,flags de fraude previos; monto compensado acumulado alto; muchas compensaciones en 90d,Lima,Mercado,201.07,193.85,9,2448.24,SÍ - confirmada,26,4,Orden no llegó,La app dice que fue entregado pero no recibí nada. Estuve en casa todo el día.,,
COMP-0010,LEGITIMO,0.0,cuenta con antigüedad; tiempo de entrega normal/alto; pocas compensaciones en 90d,Guadalajara,Farmacia,397.8,254.76,1,129.04,NO confirmada,101,0,Producto incompleto,Faltaron 2 tacos de los 5 que pedí.,,
COMP-0053,LEGITIMO,0.05,tiempo de entrega normal/alto; cuenta con antigüedad; pocas compensaciones en 90d,Santiago,Comida,335.92,253.38,1,319.96,Señal perdida,106,0,Orden no llegó,Marcaron entregado pero mi vecino dice que nadie tocó el timbre.,,
COMP-0006,LEGITIMO,0.07,cuenta con antigüedad; pocas compensaciones en 90d; sin flags de fraude,Medellín,Comida,699.8,692.52,0,99.14,NO confirmada,72,0,Orden llegó tarde,"Me tardé 1.5 horas más de lo estimado, la comida ya no servía.",,
COMP-0045,LEGITIMO,0.09,cuenta con antigüedad; pocas compensaciones en 90d; sin flags de fraude,Cali,Farmacia,697.74,514.3,1,143.7,NO confirmada,65,0,Cobro incorrecto,El monto cobrado no corresponde a lo que aparece en mi resumen.,,
COMP-0030,LEGITIMO,0.1,pocas compensaciones en 90d; cuenta con antigüedad; sin flags de fraude,CDMX,Mercado,452.56,386.56,0,272.47,NO confirmada,78,0,Producto incompleto,No incluyeron las salsas ni los cubiertos.,,
COMP-0118,LEGITIMO,0.12,tiempo de entrega normal/alto; cuenta con antigüedad; pocas compensaciones en 90d,Puebla,Mercado,630.2,573.71,1,390.6,Señal perdida,88,0,Cobro incorrecto,Me cobraron dos veces el mismo pedido.,,
COMP-0001,LEGITIMO,0.15,cuenta con antigüedad; sin flags de fraude; monto compensado bajo,CDMX,Comida,668.79,423.76,2,103.53,NO confirmada,56,0,Producto incorrecto,"Llegó comida diferente, creo que confundieron mi pedido.",,
COMP-0020,LEGITIMO,0.17,pocas compensaciones en 90d; sin flags de fraude; tiempo de entrega normal/alto,Cali,Mercado,576.12,499.49,0,267.26,Señal perdida,81,0,Producto incorrecto,El refresco que llegó no es el que pedí.,,
COMP-0031,LEGITIMO,0.2,pocas compensaciones en 90d; sin flags de fraude; cuenta con antigüedad,Córdoba,Mercado,372.12,347.96,1,299.58,Señal perdida,60,0,Producto en mal estado,El producto estaba caducado según la fecha en el empaque.,,
COMP-0008,LEGITIMO,0.27,sin flags de fraude; pocas compensaciones en 90d; monto compensado bajo,Querétaro,Farmacia,326.01,188.76,2,272.21,NO confirmada,73,0,Cobro incorrecto,Me cobraron dos veces el mismo pedido.,,
